Year,GEO,Products ,UOM,SCALAR_FACTOR,COORDINATE,Value,TERMINATED,DECIMALS
2019,Canada,All-items,2002=100,units,2.2,136,,1
2019,Canada,Food,2002=100,units,2.3,150.2,,1
2019,Canada,Shelter,2002=100,units,2.79,144.5,,1
2019,Canada,"Household operations, furnishings and equipment",2002=100,units,2.96,123.6,,1
2019,Canada,Clothing and footwear,2002=100,units,2.139,96.1,,1
2019,Canada,Transportation,2002=100,units,2.176,141.5,,1
2019,Canada,Gasoline,2002=100,units,2.184,170.5,,1
2019,Canada,Health and personal care,2002=100,units,2.201,127.4,,1
2019,Canada,"Recreation, education and reading",2002=100,units,2.219,116.8,,1
2019,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,units,2.256,171.1,,1
2019,Canada,Energy,2002=100,units,2.288,159.3,,1
2019,Canada,Goods,2002=100,units,2.274,122.7,,1
2019,Canada,Services,2002=100,units,2.282,149.2,,1
2020,Canada,All-items,2002=100,units,2.2,137,,1
2020,Canada,Food,2002=100,units,2.3,153.7,,1
2020,Canada,Shelter,2002=100,units,2.79,147,,1
2020,Canada,"Household operations, furnishings and equipment",2002=100,units,2.96,123.8,,1
2020,Canada,Clothing and footwear,2002=100,units,2.139,94.4,,1
2020,Canada,Transportation,2002=100,units,2.176,141.2,,1
2020,Canada,Gasoline,2002=100,units,2.184,146.7,,1
2020,Canada,Health and personal care,2002=100,units,2.201,129.2,,1
2020,Canada,"Recreation, education and reading",2002=100,units,2.219,115.7,,1
2020,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,units,2.256,171.9,,1
2020,Canada,Energy,2002=100,units,2.288,147.2,,1
2020,Canada,Goods,2002=100,units,2.274,122.5,,1
2020,Canada,Services,2002=100,units,2.282,151.3,,1
2021,Canada,All-items,2002=100,units,2.2,141.6,,1
2021,Canada,Food,2002=100,units,2.3,157.5,,1
2021,Canada,Shelter,2002=100,units,2.79,152.7,,1
2021,Canada,"Household operations, furnishings and equipment",2002=100,units,2.96,125.2,,1
2021,Canada,Clothing and footwear,2002=100,units,2.139,94.1,,1
2021,Canada,Transportation,2002=100,units,2.176,151.4,,1
2021,Canada,Gasoline,2002=100,units,2.184,192.4,,1
2021,Canada,Health and personal care,2002=100,units,2.201,132.6,,1
2021,Canada,"Recreation, education and reading",2002=100,units,2.219,117.9,,1
2021,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,units,2.256,175,,1
2021,Canada,Energy,2002=100,units,2.288,175,,1
2021,Canada,Goods,2002=100,units,2.274,128.3,,1
2021,Canada,Services,2002=100,units,2.282,154.8,,1
2022,Canada,All-items,2002=100,units,2.2,151.2,,1
2022,Canada,Food,2002=100,units,2.3,171.5,,1
2022,Canada,Shelter,2002=100,units,2.79,163.3,,1
2022,Canada,"Household operations, furnishings and equipment",2002=100,units,2.96,130.9,,1
2022,Canada,Clothing and footwear,2002=100,units,2.139,95.4,,1
2022,Canada,Transportation,2002=100,units,2.176,167.5,,1
2022,Canada,Gasoline,2002=100,units,2.184,247.2,,1
2022,Canada,Health and personal care,2002=100,units,2.201,138,,1
2022,Canada,"Recreation, education and reading",2002=100,units,2.219,123.5,,1
2022,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",2002=100,units,2.256,181.3,,1
2022,Canada,Energy,2002=100,units,2.288,214.4,,1
2022,Canada,Goods,2002=100,units,2.274,139.4,,1
2022,Canada,Services,2002=100,units,2.282,162.6,,1
